// Lucy

L = 0.0;5.698;7.524;10.884;14.418;17.908;21.509;25.108;28.654;32.206;35.751;39.309;42.859;46.405;49.957;53.515;57.049;60.595;64.155;67.697;71.242;74.796;78.345;81.904;85.469;88.999;92.549;96.097;99.650;103.199;106.738;110.309;113.842;117.378;120.947;124.499;128.055;131.599;135.149;138.710
L = 0.1;5.499;7.603;10.921;14.447;17.908;21.429;24.957;28.480;32.006;35.703;39.316;42.859;46.410;49.958;53.501;57.056;60.606;64.149;67.701;71.239;74.795;78.348;81.911;85.454;88.998;92.548;96.095;99.641;103.200;106.747;110.287;113.843;117.379;120.945;124.494;128.052;131.592;135.147;138.682
L = 0.2;4.881;5.813;6.113;7.666;9.417;11.093;12.668;14.203;15.694;17.227;18.781;20.311;21.845;23.502;25.070;26.614;28.151;29.704;31.260;32.793;34.345;35.896;37.439;38.992;40.558;42.078;43.615;45.375;46.915;48.443;49.967;51.460;52.945;54.428;55.857;57.291;58.676;60.079;61.473
L = 0.3;3.665;4.315;4.394;5.618;6.007;6.067;6.098;6.328;6.924;7.546;8.199;8.811;9.409;10.002;10.602;11.215;11.779;12.326;12.857;13.362;13.848;14.286;14.734;15.194;15.646;16.114;16.558;16.998;17.413;17.816;18.273;18.720;19.073;19.468;19.892;20.272;20.644;21.049;21.385
L = 0.4;3.187;3.874;3.997;3.793;4.082;4.313;4.863;4.923;5.895;5.922;5.860;5.968;6.082;6.070;6.121;6.152;6.163;6.176;6.427;6.696;6.975;7.264;7.546;7.819;8.089;8.365;8.646;8.921;9.182;9.510;9.778;10.062;10.357;10.628;10.911;11.190;11.505;11.757;12.016
L = 0.5;2.366;2.951;3.489;3.596;3.697;4.583;4.336;4.564;4.732;4.692;5.367;5.972;5.996;6.044;6.073;6.081;6.104;6.024;6.152;6.154;6.201;6.484;6.767;7.041;7.312;7.584;7.854;8.128;8.408;8.671;8.944;9.218;9.497;9.803;10.105;10.390;10.662;10.948;11.213
L = 0.6;2.041;2.998;4.349;4.503;4.504;4.595;4.637;4.507;4.434;4.699;4.820;5.446;6.013;5.989;6.072;6.092;6.092;6.026;6.159;6.175;6.145;6.291;6.579;6.889;7.135;7.406;7.677;7.952;8.224;8.496;8.791;9.050;9.317;9.624;9.899;10.199;10.493;10.767;11.040
L = 0.7;2.254;3.183;3.737;4.409;4.405;4.496;4.598;4.389;4.358;4.759;4.727;5.410;5.985;5.977;6.058;6.053;6.109;6.060;6.125;6.182;6.183;6.224;6.511;6.778;7.055;7.327;7.601;7.877;8.149;8.423;8.698;8.975;9.243;9.556;9.824;10.098;10.411;10.686;10.966
L = 0.8;1.976;2.858;4.247;4.558;4.515;4.642;4.674;4.772;4.382;4.713;4.857;5.403;5.967;5.977;6.024;6.058;6.094;6.067;6.128;6.168;6.196;6.196;6.476;6.749;7.023;7.297;7.567;7.841;8.113;8.391;8.660;8.940;9.215;9.518;9.796;10.069;10.376;10.653;10.930
L = 0.9;2.023;2.923;4.002;4.436;4.444;4.527;4.600;4.306;4.685;4.838;5.001;5.293;5.950;5.933;6.024;6.058;6.108;6.025;6.104;6.166;6.183;6.183;6.460;6.732;7.008;7.284;7.560;7.834;8.111;8.385;8.653;8.933;9.200;9.506;9.780;10.056;10.343;10.642;10.917

L = 0.0;2.776;3.935;4.196;4.184;4.131;4.120;4.137;4.158;4.126;4.218;4.214;4.203;4.187;4.157;4.156;4.162;4.164;4.156;4.181;4.165;4.091;4.057;4.097;4.107;4.137;4.124;4.123;4.107;4.110;4.105;4.136;4.080;4.073;4.078;4.056;4.051;4.000;4.006;4.027
L = 0.1;2.619;3.754;4.111;4.062;4.008;4.004;4.048;4.041;4.019;4.060;3.994;4.017;3.992;4.012;4.012;4.021;3.999;4.018;4.029;4.015;3.980;4.007;4.085;4.044;4.045;4.077;4.025;4.047;4.032;4.036;4.051;3.994;4.009;4.004;4.005;4.048;4.054;4.036;4.056
L = 0.2;2.694;3.802;4.051;4.053;4.015;4.007;4.058;4.061;4.061;4.068;4.047;4.048;4.149;4.107;4.170;4.270;4.264;4.173;4.215;4.170;4.176;4.203;4.162;4.191;4.110;4.154;4.153;4.122;4.219;4.155;4.104;3.834;4.111;4.148;4.179;3.976;4.144;4.150;4.213
L = 0.3;2.169;3.372;3.697;4.244;4.213;4.117;4.180;4.168;4.169;4.129;4.206;4.165;4.169;4.181;4.173;4.124;4.181;4.132;4.161;4.136;4.166;4.155;4.159;4.214;4.148;4.212;4.260;4.247;4.256;4.247;4.156;4.266;4.357;4.357;4.255;4.190;4.182;4.243;4.252
L = 0.4;1.944;2.761;3.556;3.748;4.159;4.203;4.200;4.147;4.237;4.139;4.168;4.184;4.151;4.154;4.104;4.140;4.080;4.079;4.162;4.078;4.083;4.178;4.179;4.213;4.087;4.174;4.169;4.184;4.183;4.163;4.174;4.169;4.165;4.174;4.150;4.165;4.161;4.163;4.149
L = 0.5;1.679;2.485;3.024;3.218;3.476;3.381;3.356;3.067;3.110;3.439;3.366;3.336;2.972;3.314;3.263;3.239;3.293;3.231;3.481;3.405;3.373;3.033;3.333;3.390;3.432;3.414;3.081;3.293;3.402;3.380;3.420;3.371;3.205;3.287;3.323;3.388;3.474;3.254;3.294
L = 0.6;1.710;2.026;2.615;2.966;2.855;2.975;2.832;2.994;2.803;2.825;2.696;2.877;2.784;2.940;2.802;2.942;2.800;2.946;2.779;2.926;2.798;2.921;2.810;2.946;2.815;2.875;2.743;2.910;2.710;2.685;2.968;2.775;2.913;2.787;2.928;2.835;2.976;2.867;2.994
L = 0.7;1.739;1.918;2.596;2.739;2.872;2.792;2.913;2.833;2.947;2.890;3.021;2.862;2.937;2.864;2.898;2.724;2.855;2.702;2.798;2.722;2.795;2.664;2.772;2.613;2.729;2.717;2.855;2.786;2.816;2.732;2.897;2.725;2.937;2.789;2.945;2.802;2.868;2.623;2.759
L = 0.8;1.590;1.674;2.770;2.440;2.608;2.387;2.480;2.382;2.511;2.385;2.537;2.355;2.551;2.311;2.486;2.366;2.404;2.342;2.560;2.542;2.653;2.875;2.809;2.957;2.835;2.956;2.854;2.914;2.834;2.914;2.828;2.854;2.726;2.796;2.711;2.815;2.697;2.799;2.695
L = 0.9;1.534;1.957;2.338;2.371;2.506;2.413;2.460;2.374;2.378;2.300;2.352;2.526;2.749;2.593;2.832;2.728;2.888;2.687;2.782;2.757;2.794;2.738;3.015;2.568;2.877;2.457;2.623;2.823;2.627;2.772;2.618;2.843;2.719;2.851;2.674;2.800;2.697;2.830;2.774

// Happy

L = 0.0;5.081;6.817;9.702;12.830;15.954;19.057;22.192;25.425;28.616;31.737;34.924;38.201;41.397;44.432;47.631;50.804;53.850;57.054;60.174;63.322;66.479;69.670
L = 0.1;5.017;6.825;9.755;12.881;15.936;19.162;22.311;25.458;28.624;31.765;34.985;38.040;41.195;44.349;47.525;50.631;53.831;56.958;60.068;63.192;66.413;69.501
L = 0.2;4.989;6.035;6.276;7.594;9.163;10.667;12.172;13.675;15.178;16.646;18.331;19.795;21.240;22.767;24.331;25.831;27.306;28.823;30.304;31.826;33.341;34.826
L = 0.3;4.181;4.661;4.655;5.927;6.049;5.646;6.165;6.612;7.244;7.891;8.544;9.140;9.736;10.325;10.846;11.294;11.736;12.185;12.626;13.070;13.539;13.978
L = 0.4;3.176;4.352;4.593;4.698;4.776;4.699;5.028;5.072;5.545;6.024;6.078;6.125;6.126;6.155;6.191;6.203;6.173;6.213;6.353;6.623;6.897;7.193
L = 0.5;2.493;4.122;4.334;4.644;4.671;4.781;4.798;4.654;4.864;5.066;5.130;5.584;6.055;6.078;6.073;6.137;6.126;6.170;5.900;6.223;6.234;6.390
L = 0.6;2.244;3.257;4.169;4.565;4.615;4.744;4.815;4.849;4.616;4.898;4.959;5.497;6.059;6.041;6.085;6.007;6.143;6.155;6.179;6.212;6.221;6.268
L = 0.7;1.873;3.041;4.057;4.666;4.655;4.683;4.804;4.862;4.607;4.898;5.098;5.277;5.517;5.994;6.097;6.123;6.131;6.148;6.195;6.170;6.212;6.216
L = 0.8;1.563;3.031;4.275;4.674;4.661;4.774;4.812;4.863;4.656;4.942;5.195;5.267;5.523;5.969;6.081;6.103;6.102;6.096;6.164;6.148;6.115;6.220
L = 0.9;1.552;2.885;3.939;4.285;4.346;4.434;4.510;4.302;4.544;4.712;4.658;5.165;5.402;5.961;6.052;6.073;6.129;6.114;6.154;6.174;6.068;6.199

L = 0.0;2.687;4.094;4.063;3.930;3.935;3.928;3.939;3.939;3.914;3.946;3.912;3.974;3.915;3.933;3.929;3.929;3.922;3.921;3.933;3.932;3.947;3.976
L = 0.1;3.427;4.053;4.178;4.056;4.063;4.060;4.047;3.774;2.617;2.511;2.902;3.684;3.924;4.001;4.022;4.000;4.060;4.082;4.058;4.091;4.081;4.087
L = 0.2;3.247;4.136;4.209;4.003;4.015;3.914;4.020;4.053;4.062;4.101;4.117;4.085;4.012;4.061;4.021;4.024;4.034;4.029;4.036;4.051;4.088;4.065
L = 0.3;2.844;3.789;4.205;4.038;3.998;3.915;4.107;3.947;4.089;3.747;1.825;3.521;3.799;3.928;3.831;4.017;3.972;3.918;4.055;4.038;4.101;4.038
L = 0.4;2.165;2.850;3.973;3.303;3.940;3.967;3.946;3.964;3.974;3.970;3.887;3.941;3.975;3.992;3.966;3.918;3.953;3.939;4.039;2.134;1.861;1.688
L = 0.5;1.596;2.423;3.029;2.758;2.783;2.732;2.776;2.888;2.849;3.030;2.801;2.973;2.844;2.986;2.876;2.989;2.917;3.047;2.951;2.951;2.816;2.937
L = 0.6;1.717;2.397;2.605;2.795;2.720;2.099;2.232;2.270;2.396;2.248;2.480;2.116;2.312;2.171;2.295;2.189;2.300;2.179;2.447;2.193;2.340;2.536
L = 0.7;1.411;2.077;1.926;1.910;1.850;1.831;1.840;1.837;1.832;1.842;1.829;1.828;1.832;1.830;1.822;1.816;1.807;1.815;1.842;1.847;1.864;1.837
L = 0.8;1.271;1.745;2.131;1.888;1.838;1.800;1.795;1.804;1.783;1.769;1.746;1.744;1.774;1.795;1.825;1.815;1.796;1.814;1.782;1.790;1.798;1.765
L = 0.9;1.226;1.698;2.070;1.837;1.799;1.773;1.764;1.774;1.779;1.747;1.794;1.797;1.809;1.772;1.796;1.785;1.780;1.786;1.796;1.787;1.762;1.781

// Kitten

L = 0.0;2.656;3.371;2.749;3.336;3.662;4.662;5.650;5.742;5.863;5.900;5.973;6.467;6.993;7.530;8.057;8.581;9.120;9.699;10.148;10.664;11.193;11.712
L = 0.1;2.466;2.733;2.795;3.510;3.827;4.812;5.669;5.762;5.867;5.929;5.935;6.463;6.986;7.500;8.027;8.543;9.069;9.581;10.101;10.624;11.186;11.715
L = 0.2;1.784;2.413;2.465;2.449;3.186;3.012;3.293;3.793;3.784;3.985;4.346;4.414;4.438;5.337;4.769;5.755;5.848;5.864;5.905;5.949;5.945;5.993
L = 0.3;1.106;1.664;2.070;3.447;3.944;4.001;3.137;3.145;3.422;3.240;3.299;3.655;3.459;3.683;4.071;3.957;4.038;3.946;4.392;4.472;4.502;4.455
L = 0.4;1.076;1.612;2.225;3.806;3.864;3.940;3.965;4.044;3.134;3.363;3.246;3.227;3.263;3.718;3.385;3.822;3.848;3.939;3.759;3.935;4.476;4.471
L = 0.5;1.141;1.694;2.832;3.809;3.852;3.900;3.979;3.992;3.221;3.239;3.137;3.391;3.439;3.338;3.478;3.593;3.764;4.034;3.929;4.099;3.943;4.309
L = 0.6;1.100;1.592;2.566;3.762;3.812;3.915;3.949;4.004;3.993;3.154;3.308;3.156;3.278;3.606;3.490;3.369;3.977;3.575;4.077;3.903;4.065;4.203
L = 0.7;1.102;1.687;3.223;3.748;3.822;3.873;3.923;4.025;4.047;3.175;3.275;3.164;3.265;3.430;3.608;3.412;3.799;3.767;3.945;3.814;4.332;4.459
L = 0.8;1.230;2.248;2.566;2.742;3.204;3.184;3.042;3.466;4.369;4.342;4.376;4.018;4.703;4.438;4.612;4.709;4.330;4.917;4.933;4.769;4.958;4.471
L = 0.9;1.135;1.798;2.417;2.618;2.968;3.273;3.422;4.174;3.972;3.576;4.120;4.116;4.155;4.552;4.869;4.288;4.318;4.049;4.962;4.957;4.992;4.993

L = 0.0;1.651;2.187;2.737;2.565;2.656;2.899;2.542;2.664;2.827;2.629;2.808;2.656;2.667;2.901;2.557;2.597;2.931;2.582;2.628;2.842;2.594;2.755
L = 0.1;2.427;2.208;2.900;2.650;2.671;2.951;2.611;2.605;2.815;2.566;2.578;2.896;2.585;2.697;2.751;2.541;2.747;2.660;2.645;2.834;2.525;2.652
L = 0.2;2.585;2.172;2.860;2.638;2.677;2.830;2.596;2.707;2.780;2.573;2.658;2.802;2.650;2.796;2.708;2.627;2.852;2.608;2.610;2.918;2.617;2.688
L = 0.3;2.427;2.624;2.493;2.618;2.494;2.519;2.464;2.745;2.598;2.450;2.583;2.549;2.772;2.513;2.450;2.456;2.725;2.581;2.447;2.427;2.753;2.446
